FIPS,State,County,# deaths due to COVID-19 during 2020 (age-adjusted),COVID-19 death rate,Life Expectancy,High School Graduation Rate,Reading scores - Average Grade Performance,Math scores - Average Grade Performance,School funding,Median Household Income,% Children Enrolled in Free or Reduced Lunch,% Broadband Access,Broadband Access Numerator,Population,% Less Than 18 Years of Age,% 65 and Over,% female,# rural residents,% rural
1000,Alabama,,6544,104,74.8,92,2.9,2.7,-4296,53958,55,80,1509206,4921532,22.1,17.8,51.7,1957932,41.0
1001,Alabama,Autauga,55,82,76.6,89,3.1,2.9,-2619,67565,45,83,17831,56145,23.2,16.2,51.5,22921,42.0
1003,Alabama,Baldwin,165,50,77.7,90,3.2,3.0,334,71135,46,85,71498,229287,21.1,21.6,51.6,77060,42.3
1005,Alabama,Barbour,38,110,72.9,85,2.4,2.0,-15097,38866,60,65,6025,24589,20.5,20.3,47.2,18613,67.8
1007,Alabama,Bibb,40,147,73.6,92,2.7,2.6,-4280,50907,59,76,5526,22136,20.0,17.1,46.8,15663,68.4
1009,Alabama,Blount,92,117,74.2,95,2.9,2.8,-574,55203,52,80,16884,57879,22.8,19.0,50.6,51562,90.0
1011,Alabama,Bullock,20,160,73.8,93,2.1,2.0,-19217,33124,75,61,2079,9976,20.8,17.7,45.3,5607,51.4
1013,Alabama,Butler,52,171,73.5,93,2.5,2.1,-10515,42268,80,74,4894,19504,22.1,21.4,53.4,14921,71.2
1015,Alabama,Calhoun,175,119,72.8,93,2.9,2.8,-4322,50259,60,80,35553,113469,21.4,18.5,51.9,39955,33.7
1017,Alabama,Chambers,73,147,73.8,87,2.6,2.5,-13303,39318,71,75,10122,32865,20.5,20.6,52.3,16816,49.1
1019,Alabama,Cherokee,34,77,74.0,92,2.8,2.6,521,50388,61,75,8126,26294,18.5,24.3,50.4,22282,85.7
1021,Alabama,Chilton,76,138,74.4,88,2.8,2.7,-2372,52693,65,75,12789,44397,23.8,17.5,51.0,37858,86.7
1023,Alabama,Choctaw,31,134,74.2,93,2.5,2.1,-11749,41649,75,63,3348,12418,19.7,24.0,52.7,13859,100.0
1025,Alabama,Clarke,43,127,71.7,91,3.0,2.8,-8084,44178,71,63,5854,23291,21.3,20.9,52.7,19628,76.0
1027,Alabama,Clay,40,203,72.9,88,2.8,2.5,-4732,44763,65,72,3709,13112,20.3,21.4,51.3,13932,100.0
1029,Alabama,Cleburne,25,107,74.3,98,3.1,3.1,-69,50134,55,71,4128,14967,22.9,20.3,50.9,14972,100.0
1031,Alabama,Coffee,70,103,75.3,95,3.0,2.9,-2618,54203,48,83,16493,53230,23.4,17.6,50.7,23573,47.2
1033,Alabama,Colbert,83,102,73.9,93,3.0,2.9,-1957,54185,55,73,15831,55411,20.9,20.6,52.1,23891,43.9
1035,Alabama,Conecuh,27,130,71.2,93,2.3,2.3,-13106,34664,66,62,2844,11851,20.4,24.0,52.2,10708,80.9
1037,Alabama,Coosa,19,123,73.9,,2.5,2.3,-7390,46509,64,76,3039,10650,16.2,24.7,49.9,11539,100.0
1039,Alabama,Covington,90,151,72.9,96,2.9,2.7,-5217,43544,56,75,11273,36930,21.9,21.9,51.7,26304,69.7
1041,Alabama,Crenshaw,29,147,72.6,93,2.8,2.6,-5804,45927,64,67,3339,13681,22.6,19.9,51.4,13906,100.0
